,kepid,koi_period,koi_disposition,envolope_disposition,envolope_period
0,11446443.0,2.470613377,CONFIRMED,CONFIRMED,2.470613292078099
1,10666592.0,2.204735417,CONFIRMED,CONFIRMED,0.3149632169878876
2,6922244.0,3.522498429,CONFIRMED,CONFIRMED,0.2103334273224601
3,11138155.0,4.959319244,CONFIRMED,CONFIRMED,0.7084741268596579
4,11414511.0,2.816504904,CONFIRMED,CONFIRMED,0.2078795582601492
5,11812062.0,3.728732147,CONFIRMED,CONFIRMED,1.864366040456466
6,12644822.0,12.611904345,CONFIRMED,CONFIRMED,2.1019783686371465
7,4275191.0,3.895936525,CONFIRMED,CONFIRMED,1.2986449258667163
8,3351888.0,1.625522174,CONFIRMED,CONFIRMED,0.2085010628965185
9,10797460.0,9.48803557,CONFIRMED,CONFIRMED,0.5930549907395664
10,10848459.0,1.736952453,FALSE POSITIVE,CONFIRMED,1.7369525854237382
11,10854555.0,2.525591777,CONFIRMED,CONFIRMED,0.206604397007166
12,10872983.0,11.09432054,CONFIRMED,CONFIRMED,1.3867825507376434
13,10910878.0,16.06864674,CONFIRMED,CONFIRMED,2.6781172511820053
14,10984090.0,3.709214104,CONFIRMED,CONFIRMED,3.1924732147793984
15,10419211.0,11.521446064,FALSE POSITIVE,CONFIRMED,0.4905441076208327
16,10464078.0,19.40393776,FALSE POSITIVE,CONFIRMED,4.8509307743263
17,10480982.0,19.221388942,FALSE POSITIVE,CONFIRMED,19.197449004064445
18,10485250.0,16.46983774,FALSE POSITIVE,CONFIRMED,1.3725136047895548
19,10526549.0,9.27358173,CONFIRMED,CONFIRMED,0.7458853140770336
20,10583066.0,6.02930329,CONFIRMED,CONFIRMED,1.0048917422644097
21,10583180.0,2.696370652,FALSE POSITIVE,CONFIRMED,0.8989181386500896
