,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
2287,10341917,K02823.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,0,1,0.93375241,3.621e-06,-3.621e-06,131.5113,0.00395,-0.00395,0.989,0.153,-0.018,6.352,0.22,-0.22,518.0,12.0,-12.0,3.18,0.68,-0.22,1594.0,,,1528.26,1036.31,-378.29,55.5,1.0,q1_q17_dr25_tce,5402.0,185.0,-185.0,4.581,0.026,-0.145,0.815,0.172,-0.057,19h31m07.09s,+47d27m07.6s,15.807,
2292,5817986,K02897.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,0.584310213,4.46e-07,-4.46e-07,132.013258,0.000637,-0.000637,1.209,1.081,-0.1,2.1801,0.0372,-0.0372,809.4,10.5,-10.5,23.09,7.21,-2.26,2053.0,,,4190.91,3839.68,-1169.41,91.9,1.0,q1_q17_dr25_tce,5783.0,156.0,-173.0,4.539,0.038,-0.212,0.88,0.275,-0.086,19h54m13.38s,+41d02m02.6s,15.361,
2298,8892303,K02688.01,Kepler-1314 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.424749327,3.898e-06,-3.898e-06,133.728952,0.000713,-0.000713,0.016,0.354,-0.016,1.139,0.0232,-0.0232,7680.0,122.0,-122.0,5.15,0.37,-0.63,625.0,,,36.05,11.41,-12.31,78.0,1.0,q1_q17_dr25_tce,4137.0,145.0,-160.0,4.658,0.063,-0.027,0.591,0.042,-0.072,19h36m57.03s,+45d11m49.6s,16.406,
2315,2989706,K02692.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.257689465,1.158e-06,-1.158e-06,132.503649,0.000749,-0.000749,0.197,0.253,-0.197,0.8399,0.0316,-0.0316,945.6,28.0,-28.0,2.45,0.61,-0.24,1513.0,,,1244.66,938.99,-351.48,45.6,1.0,q1_q17_dr25_tce,5676.0,172.0,-172.0,4.571,0.05,-0.15,0.787,0.195,-0.078,19h25m47.44s,+38d08m57.4s,15.522,
2325,5436338,K02835.01,Kepler-1880 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.30922043,1.723e-05,-1.723e-05,133.99677,0.00231,-0.00231,0.118,0.338,-0.118,1.3251,0.0716,-0.0716,691.2,38.2,-38.2,1.37,0.1,-0.12,606.0,,,31.73,9.67,-8.46,22.5,1.0,q1_q17_dr25_tce,4380.0,130.0,-143.0,4.71,0.059,-0.032,0.53,0.041,-0.045,19h11m18.33s,+40d41m47.8s,15.906,
2342,6186964,K02839.01,Kepler-1366 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.164570593,6.423e-06,-6.423e-06,131.83142,0.00278,-0.00278,0.338,0.101,-0.338,1.2862,0.0719,-0.0719,525.1,32.2,-32.2,1.27,0.07,-0.06,783.0,,,88.91,17.2,-15.49,19.8,1.0,q1_q17_dr25_tce,3941.0,71.0,-78.0,4.713,0.025,-0.028,0.554,0.03,-0.03,19h00m15.58s,+41d33m17.5s,15.877,
2351,7903086,K02761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.846861455,4.027e-06,-4.027e-06,131.90493,0.00209,-0.00209,0.48,0.043,-0.453,1.6605,0.0539,-0.0539,648.6,20.9,-20.9,2.23,0.62,-0.16,1337.0,,,753.4,624.67,-186.98,35.9,1.0,q1_q17_dr25_tce,5591.0,166.0,-183.0,4.559,0.033,-0.187,0.86,0.237,-0.063,19h43m05.68s,+43d40m19.0s,15.881,
2364,2438070,K00363.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.442945167,2.572e-06,-2.572e-06,171.09721,0.000864,-0.000864,1.217,0.989,-0.152,4.0145,0.0477,-0.0477,677.9,7.8,-7.8,38.29,9.81,-13.08,1587.0,,,1499.89,1163.2,-917.06,102.8,1.0,q1_q17_dr25_tce,5657.0,169.0,-152.0,4.121,0.336,-0.144,1.428,0.366,-0.488,19h21m06.66s,+37d47m21.6s,13.771,
2376,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.487688776,1.105e-06,-1.105e-06,170.932217,0.000253,-0.000253,0.026,0.205,-0.026,3.83661,0.00947,-0.00947,1298.8,4.1,-4.1,5.64,0.83,-1.35,1445.0,,,1033.07,439.91,-478.15,350.6,1.0,q1_q17_dr25_tce,5576.0,112.0,-101.0,4.065,0.196,-0.084,1.593,0.235,-0.382,18h53m01.32s,+48d21m18.8s,13.77,
2421,12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.411627439,8.27e-07,-8.27e-07,178.263426,0.000453,-0.000453,0.853,0.039,-0.614,1.0814,0.0154,-0.0154,515.2,11.1,-11.1,2.99,0.97,-0.33,1966.0,,,3523.63,3272.15,-1073.69,53.1,2.0,q1_q17_dr25_tce,6692.0,160.0,-220.0,4.383,0.065,-0.208,1.152,0.374,-0.125,19h13m17.15s,+51d43m35.8s,13.754,
